=== Snake AI Curriculum Training [DDQN] ===

>>> [Curriculum] Starting Phase: 1. Pre-training (Single Snake) -> agent/checkpoints/ddqn_pretrain.pth
>>> Command: train_dqn_variants.py --variant ddqn --single --steps 500000 --save agent/checkpoints/ddqn_pretrain.pth
>>> [V6.9 Survival-Balanced] Variant: DDQN | LR: 0.0001 | GradClip: 1.0
>>> PHASE 1 (Single) | Closer: 0.08 | Death: -15.0
>>> Starting DDQN Training (V6.7 Omni-Batch)...
Step: 2000 | EPS: 0.99 | Rew: -16.26 | FPS: 1248.0 | Var: ddqn
Step: 4000 | EPS: 0.98 | Rew: -16.36 | FPS: 194.3 | Var: ddqn
Step: 6000 | EPS: 0.97 | Rew: -16.25 | FPS: 613.0 | Var: ddqn
Step: 8000 | EPS: 0.96 | Rew: -15.50 | FPS: 990.8 | Var: ddqn
Step: 10000 | EPS: 0.95 | Rew: -15.56 | FPS: 964.7 | Var: ddqn
Step: 12000 | EPS: 0.94 | Rew: -15.02 | FPS: 903.4 | Var: ddqn
Step: 14000 | EPS: 0.93 | Rew: -15.02 | FPS: 911.4 | Var: ddqn
Step: 16000 | EPS: 0.92 | Rew: -15.63 | FPS: 918.9 | Var: ddqn
Step: 18000 | EPS: 0.91 | Rew: -14.24 | FPS: 939.2 | Var: ddqn
Step: 20000 | EPS: 0.90 | Rew: -11.86 | FPS: 4722.3 | Var: ddqn
Step: 30000 | EPS: 0.85 | Rew: -6.47 | FPS: 921.3 | Var: ddqn
Step: 40000 | EPS: 0.80 | Rew: -8.17 | FPS: 883.5 | Var: ddqn
Step: 50000 | EPS: 0.75 | Rew: -11.95 | FPS: 895.3 | Var: ddqn
Step: 60000 | EPS: 0.70 | Rew: -12.86 | FPS: 867.5 | Var: ddqn
Step: 70000 | EPS: 0.65 | Rew: -14.48 | FPS: 872.1 | Var: ddqn
Step: 80000 | EPS: 0.60 | Rew: -9.29 | FPS: 884.2 | Var: ddqn
Step: 90000 | EPS: 0.55 | Rew: -12.18 | FPS: 867.1 | Var: ddqn
Step: 100000 | EPS: 0.50 | Rew: -8.60 | FPS: 875.7 | Var: ddqn
Step: 110000 | EPS: 0.45 | Rew: -5.42 | FPS: 878.5 | Var: ddqn
Step: 120000 | EPS: 0.40 | Rew: -8.35 | FPS: 880.2 | Var: ddqn
Step: 130000 | EPS: 0.35 | Rew: -8.83 | FPS: 856.7 | Var: ddqn
Step: 140000 | EPS: 0.30 | Rew: -4.49 | FPS: 838.9 | Var: ddqn
Step: 150000 | EPS: 0.25 | Rew: -4.29 | FPS: 829.6 | Var: ddqn
Step: 160000 | EPS: 0.20 | Rew: 2.05 | FPS: 876.7 | Var: ddqn
Step: 170000 | EPS: 0.15 | Rew: 42.97 | FPS: 851.3 | Var: ddqn
Step: 180000 | EPS: 0.10 | Rew: 62.50 | FPS: 859.1 | Var: ddqn
Step: 190000 | EPS: 0.05 | Rew: 62.84 | FPS: 845.1 | Var: ddqn
